Date,Product Name,Category,Sales Amount,Quantity Sold,Region,Customer Segment
3/8/2025,Coloring Books for Adults,Books,1966,50,Kazakhstan,n/a
4/26/2025,Ramen Noodles,Food - Pasta,3122,11,Uruguay,Basic Industries
12/25/2024,Bamboo Toothbrush,Health,1402,1,China,n/a
5/27/2025,Mixed Berry Smoothie Pack,Food - Frozen Food,3851,40,Turkmenistan,Finance
8/23/2024,Herbal Tea Sampler Box,Food,1362,2,China,Finance
12/25/2024,Peach Salsa,Food - Dips,3611,48,Philippines,n/a
7/3/2025,Compact Folding Table,Outdoor,41,31,Colombia,Consumer Services
10/21/2024,Luxury Bath Salts,Beauty,3221,30,Azerbaijan,Consumer Non-Durables
9/8/2024,Cauliflower Pizza Crust,Food - Frozen Foods,489,30,France,Consumer Services
8/28/2024,Basil Pesto Pasta,Food - Prepared Meals,2743,37,Dominican Republic,n/a
7/23/2024,Personalized Cutting Board,Kitchen,693,40,Russia,Consumer Services
4/7/2025,LED Flashlight with Rechargeable Batteries,Outdoor,2449,35,Russia,Consumer Services
7/20/2025,Hot Dog Buns,Food - Bakery,853,24,China,Capital Goods
4/4/2025,High-Quality Yoga Mat,Fitness,4682,28,Palestinian Territory,Health Care
3/7/2025,Sliced Olives,Food - Condiments,2484,48,Brazil,Technology
9/9/2024,Zesty Garlic Hummus,Food - Snacks,2415,32,Slovenia,Technology
6/3/2025,Banana Nut Muffins,Food - Bakery,4806,27,China,Consumer Services
5/7/2025,Natural Peanut Butter,Food - Spreads,4069,4,Indonesia,Health Care
5/24/2025,Red Lentil Pasta,Food - Pasta,3717,50,China,Health Care
2/22/2025,Hair Dryer,Beauty,1071,43,China,Health Care
6/27/2025,Dog Waste Bag Dispenser,Pets,3494,24,Philippines,n/a
6/25/2025,Coconut Lime Rice,Food - Sides,3386,5,China,Technology
1/28/2025,Peach Halves (canned),Food - Canned Goods,757,30,United States,Energy
4/22/2025,Dried Fruit Medley,Food - Snacks,2357,5,China,Finance
6/27/2025,Tabletop Fire Pit,Outdoor,1297,15,Botswana,Energy
11/24/2024,Fleece Hoodie,Clothing - Outerwear,1266,16,Serbia,Capital Goods
9/2/2024,Warm Knit Beanie,Clothing - Accessories,2572,17,Indonesia,Health Care
12/2/2024,Pet Food Storage Container,Pets,37,4,Germany,Public Utilities
4/2/2025,Home Karaoke System,Audio,2428,19,Brazil,Health Care
5/25/2025,Compact Dishwasher,Home Appliances,2585,10,Malaysia,Consumer Services
8/30/2024,Travel Shoe Bags Set,Travel,1392,14,Uruguay,Consumer Services
7/30/2024,Frozen Edamame,Food - Frozen Foods,2545,8,Canada,Consumer Services
5/28/2025,Self-Massaging Pillow,Health,998,12,Indonesia,Technology
12/17/2024,Relaxed Fit Henley Shirt,Clothing - Tops,2831,22,Portugal,n/a
4/1/2025,Cilantro Lime Rice,Food - Grains,116,45,United States,n/a
11/26/2024,Travel Makeup Organizer,Beauty,2338,18,Finland,Basic Industries
12/22/2024,Herbed Mushroom Risotto,Food - Prepared Foods,3185,41,China,n/a
1/23/2025,Coconut Cream Pie Mix,Food - Baking,3946,2,China,n/a
10/1/2024,Honey Glazed Carrots,Food - Produce,1399,34,Indonesia,Capital Goods
6/25/2025,Winter Insulated Jacket,Clothing,690,19,Russia,n/a
12/8/2024,Pet Caress Brush,Pets,481,10,France,Miscellaneous
12/23/2024,Chino Shorts,Clothing - Bottoms,2738,35,China,Health Care
12/29/2024,Maple Almond Granola,Food - Breakfast,1303,45,Nigeria,n/a
6/10/2025,Maple Chipotle Glaze,Food - Condiments,2578,2,Spain,Capital Goods
2/28/2025,Trainers with Mesh Inserts,Clothing - Footwear,3784,42,China,Technology
6/28/2025,Tahini,Food - Condiments,280,37,Canada,Miscellaneous
4/15/2025,Pet Training Pads,Pets,518,8,Colombia,Finance
3/7/2025,Electric Pressure Cooker,Kitchen,722,30,Argentina,Finance
7/19/2025,Fashionable Fanny Pack,Clothing - Accessories,1652,50,China,Technology
1/2/2025,Ripped Boyfriend Jeans,Clothing - Bottoms,4693,14,China,Health Care
2/7/2025,Apple Cinnamon Oatmeal,Food - Breakfast,1629,8,Japan,n/a
7/12/2025,Weighted Jump Rope,Fitness,3515,12,China,n/a
9/29/2024,Organic Baby Spinach,Food - Produce,1914,10,Indonesia,n/a
5/25/2025,Slim Wallet,Accessories,1123,9,Sweden,Consumer Services
12/1/2024,Pork Chops,Food - Meat,2000,2,Philippines,Consumer Services
7/26/2024,Spinach Feta Wraps,Food - Deli,2293,20,China,Finance
7/16/2025,Mini Fondue Set,Kitchen,1796,19,Serbia,Capital Goods
1/1/2025,Printed Maxi Skirt,Clothing - Skirts,1269,38,Indonesia,Public Utilities
6/23/2025,Steak Seasoning Rub,Food - Spices,3721,16,Slovenia,Finance
8/14/2024,Pet Grooming Brush,Pets,332,37,Indonesia,Finance
9/1/2024,Wireless Earbud Silicone Covers,Accessories,3714,6,Dominican Republic,Finance
12/16/2024,Honey Graham Crackers,Food - Snacks,2766,23,China,Health Care
12/10/2024,Travel Mug with Leak-Proof Lid,Kitchen,4710,10,Greece,Finance
1/29/2025,Kombucha Drink,Food - Beverages,4150,21,China,Energy
10/7/2024,Honey Mustard Sauce,Food - Condiments,3460,28,Portugal,n/a
1/2/2025,Digital Drawing Tablet,Art Supplies,3076,31,Indonesia,Technology
11/13/2024,Vegan Chickpea Salad,Food - Prepared Foods,4543,30,Indonesia,Finance
9/11/2024,Sun-Dried Tomatoes,Food - Vegetables,1401,12,Luxembourg,Energy
9/27/2024,Stainless Steel Cutlery Set,Kitchen,4339,36,Indonesia,Capital Goods
9/6/2024,Vanilla Ice Cream,Food - Frozen Foods,3381,2,Hungary,n/a
10/23/2024,Heat-Resistant Silicone Mat,Kitchen,1812,4,Pakistan,Consumer Services
1/6/2025,Raspberry Tart,Food - Baked Goods,709,18,Japan,n/a
2/22/2025,Nutty Granola Clusters,Food - Cereal,1409,29,Indonesia,n/a
12/18/2024,Fitness Resistance Bands,Fitness,3559,4,Iran,n/a
5/20/2025,Spicy Thai Chili Sauce,Food - Sauces,33,47,China,Consumer Services
3/5/2025,Canvas Tote Bag,Clothing - Accessories,3385,45,China,Energy
1/17/2025,Coconut Cream Pie Yogurt,Food - Dairy Alternatives,2540,22,Philippines,Finance
6/21/2025,Classic Minestrone Soup,Food - Soups,4515,28,Ukraine,Consumer Durables
11/11/2024,Bodyweight Resistance Bands,Fitness,1373,30,United States,Health Care
12/12/2024,Lemonade Mix,Food - Beverages,4851,22,Kyrgyzstan,n/a
8/14/2024,Cheddar Cheese Slices,Food - Dairy,356,44,China,Consumer Services
9/23/2024,Solar Power Bank,Electronics,1796,17,Russia,Consumer Non-Durables
5/11/2025,Honey Almond Granola Bars,Food - Snacks,4752,40,Ireland,Consumer Services
2/24/2025,Cheese Stuffed Jalapenos,Food - Snacks,2982,2,Tunisia,Finance
9/24/2024,Pumpkin Spice Pancake Mix,Food - Breakfast,4403,49,Serbia,Basic Industries
2/9/2025,Almond Butter Granola Bars,Food - Snacks,857,24,Slovenia,Finance
6/27/2025,Maple Glazed Carrots,Food - Prepared Foods,455,49,China,Health Care
9/15/2024,Chili Garlic Sauce,Food - Condiments,384,38,Ecuador,n/a
9/10/2024,Kale Chips,Food - Snacks,1768,43,Argentina,Consumer Services
11/26/2024,Gardening Gloves,Garden,1674,1,Russia,Finance
11/30/2024,Coconut Chia Pudding,Food - Dairy,3968,43,Brazil,Technology
2/11/2025,Cocktail Shaker and Mixing Glass Set,Kitchen,3983,15,Indonesia,n/a
7/3/2025,Spicy Italian Sausage,Food - Meat & Seafood,3057,49,Democratic Republic of the Congo,Public Utilities
9/21/2024,Teriyaki Chicken Skewers,Food - Meat,683,34,Philippines,n/a
9/14/2024,Chickpea Flour,Food - Baking,4600,30,China,Energy
3/23/2025,Organic Quinoa,Food - Grains,596,49,Indonesia,Health Care
10/9/2024,Suede Ankle Booties,Clothing - Footwear,4191,13,China,Basic Industries
9/7/2024,Chocolate Protein Powder,Food - Supplements,3046,41,China,Finance
7/12/2025,Foam Muscle Roller,Fitness,3305,22,Ukraine,Consumer Services
7/19/2025,Feta Cheese Crumbles,Food - Dairy,4514,22,Iran,Consumer Durables
8/5/2024,Almond Butter Cookies,Food - Snacks,1057,13,Syria,n/a
10/30/2024,Spicy Thai Coconut Soup,Food - Soups,3305,46,Macedonia,n/a
2/14/2025,Insulated Lunch Box,Kitchen,3097,35,Cameroon,n/a
2/13/2025,Nail Polish Set,Beauty,645,5,Indonesia,Finance
2/4/2025,Portable SSD,Storage,2694,2,China,n/a
9/19/2024,Pumpkin Spice Granola,Food - Breakfast,3031,29,China,Finance
4/1/2025,Mango Salsa,Food - Condiments,316,27,Russia,Energy
8/3/2024,Silicone Baking Cups,Kitchen,864,50,Nigeria,Health Care
2/11/2025,Poppy Seed Dressing,Food - Condiments,4794,18,China,Finance
9/19/2024,Chocolate Hazelnut Granola,Food - Cereal,4921,25,Peru,Consumer Services
7/1/2025,USB Wall Charger,Accessories,277,29,Montenegro,Basic Industries
7/22/2025,Fresh Basil Pesto,Food - Sauces,400,41,China,Energy
10/18/2024,Mechanical Pencil Set,Office,4026,31,Indonesia,Public Utilities
12/1/2024,Jasmine Rice,Food - Grains,526,24,Indonesia,Finance
8/2/2024,Mesh Laundry Bags Set,Home,1573,28,Peru,Capital Goods
8/3/2024,Gaming Mousepad,Gaming,3683,28,Indonesia,Health Care
7/25/2024,Vegan Mayonnaise,Food - Condiments,3268,10,Tunisia,Technology
11/4/2024,Cable Knit Cardigan,Clothing - Outerwear,3005,28,China,Energy
6/23/2025,Organic Italian Seasoning,Food - Spices,3493,35,Indonesia,Public Utilities
6/21/2025,Raspberry Vanilla Greek Yogurt,Food - Dairy,2113,18,China,Technology
3/18/2025,Watering Can with Nozzle,Garden,1310,2,China,Transportation
4/8/2025,Portable Speaker Stand,Audio,2846,46,Sweden,Capital Goods
6/28/2025,Wireless Charger Stand,Electronics,1149,35,China,Consumer Services
5/28/2025,Wall-Mounted Organizer,Home,2595,38,United States,Finance
12/23/2024,Wireless Charger Stand,Electronics,3321,38,South Africa,Technology
10/2/2024,High-Top Leather Boots,Clothing - Footwear,1445,34,Indonesia,Technology
10/8/2024,Multi-Function Meat Tenderizer,Kitchen,1947,16,Sweden,Consumer Services
9/20/2024,Granola Cereal,Food - Breakfast,3439,18,Argentina,Consumer Services
12/21/2024,Cinnamon Sugar Popcorn,Food - Snacks,1688,14,Ireland,Capital Goods
2/22/2025,Outdoor Fire Pit,Outdoor,247,37,China,Consumer Services
12/8/2024,Sculpting Kit,Art Supplies,735,25,Vietnam,Public Utilities
2/28/2025,Outdoor String Lights,Outdoor,2848,34,France,Transportation
5/3/2025,Silicone Ice Cube Tray,Kitchen,1661,41,Russia,n/a
4/3/2025,Toilet Paper (12 rolls),Food - Household,4145,20,Fiji,Consumer Services
9/26/2024,Rustic Italian Breads,Food - Bakery,4445,18,Canada,n/a
8/4/2024,Chocolate Chip Muffins,Food - Bakery,4567,4,Indonesia,Capital Goods
4/11/2025,Compact Pop-Up Tent,Outdoor,3612,48,Peru,Public Utilities
5/8/2025,Quinoa,Food - Grains,1238,8,Ivory Coast,Capital Goods
2/12/2025,Mini Waffle Maker,Kitchen,1934,8,Brazil,Finance
8/20/2024,Legging Pants,Clothing - Activewear,1085,5,China,n/a
5/5/2025,Ginger Tea,Food - Beverages,2175,5,China,Energy
12/26/2024,Electric Stool Heater,Home,722,18,Guatemala,Public Utilities
10/22/2024,Air Mattress,Outdoor,4925,42,China,Consumer Services
1/14/2025,Camping Chair,Outdoor,960,18,Cuba,Consumer Non-Durables
6/22/2025,Wireless Wi-Fi Extender,Electronics,213,41,Finland,n/a
9/11/2024,Juice Extractor,Kitchen,1344,7,Portugal,Public Utilities
12/11/2024,Electric Blanket,Home,3852,5,Chile,Consumer Services
5/6/2025,Kids' Science Experiment Kit,Toys,473,17,Colombia,n/a
1/27/2025,Non-Stick Baking Sheet,Kitchen,1331,28,China,Public Utilities
5/21/2025,Sparkling Blood Orange Soda,Food - Beverages,4013,34,China,Technology
2/23/2025,Blueberry Chia Jam,Food - Spreads,4461,32,China,n/a
10/10/2024,Sliced Ham,Food - Meat,567,16,Gambia,Consumer Non-Durables
3/21/2025,Apple Sauce,Food - Canned Goods,4352,19,Tanzania,Technology
3/13/2025,Gardening Gloves with Claws,Garden,389,2,Brazil,n/a
8/5/2024,Buffalo Cauliflower Wings,Food - Frozen Foods,4048,45,Peru,Finance
6/18/2025,Silicone Stretch Lids,Kitchen,1857,6,Indonesia,Consumer Non-Durables
11/12/2024,Sweet BBQ Dipping Sauce,Food - Condiments,2120,34,Japan,Health Care
8/9/2024,Memory Foam Mattress Topper,Home,4557,13,French Polynesia,Basic Industries
6/13/2025,Vegetable Medley,Food - Produce,81,10,Sweden,n/a
8/23/2024,USB-C Hub,Computers,3965,19,Czech Republic,n/a
5/16/2025,Weighted Jump Rope,Fitness,187,11,China,Consumer Services
3/5/2025,Spicy Thai Coconut Soup,Food - Soups,2316,21,China,Basic Industries
10/7/2024,Dill Pickle Chips,Food - Condiments,1582,7,China,Health Care
8/15/2024,Electric Blanket,Home,444,40,Indonesia,Technology
2/5/2025,Heated Throw Blanket,Home,4035,14,Mongolia,Energy
5/28/2025,Watering Can with Nozzle,Garden,1043,21,France,Consumer Services
12/23/2024,Leather Biker Jacket,Clothing - Outerwear,2142,36,Estonia,Health Care
10/30/2024,Vegan Protein Powder,Health,2715,29,Russia,Capital Goods
1/25/2025,Hand Crank Blender,Kitchen,1446,33,Vietnam,n/a
12/11/2024,French Bread,Food - Bakery,3684,33,Indonesia,n/a
12/26/2024,Ice Cube Tray with Lid,Kitchen,716,8,China,Energy
3/23/2025,Creamy Avocado Dip,Food - Snacks,108,45,Ecuador,Health Care
6/1/2025,Smoky BBQ Jackfruit,Food - Grocery,1734,19,China,Finance
11/1/2024,Personal Safety Alarm,Safety,2195,46,Indonesia,Health Care
7/16/2025,Italian Sausage and Peppers,Food - Meat,1834,32,Kuwait,Public Utilities
12/15/2024,Ultraviolet Phone Sanitizer,Health,730,1,Philippines,Technology
8/11/2024,Dog Training Whistle,Pets,4450,23,Greece,Health Care
7/30/2024,Handcrafted Wooden Coasters,Home,3576,12,Canada,Basic Industries
9/27/2024,Tailored Dress Pants,Clothing - Bottoms,4137,32,Brazil,Finance
9/16/2024,Wireless HDMI Transmitter,Electronics,2725,25,France,Consumer Services
12/23/2024,Quinoa & Black Bean Salad,Food - Salads,4513,37,Venezuela,n/a
10/24/2024,Eco-Friendly Stainless Steel Straws,Kitchen,3128,13,United States,n/a
8/24/2024,Pet Food Storage Container,Pets,1539,4,Argentina,n/a
5/15/2025,Greek Yogurt Parfait,Food - Dairy,1994,16,Philippines,Health Care
7/19/2025,Rain Jacket,Clothing,4568,30,Russia,n/a
11/30/2024,Incense Holder,Home,959,42,Guatemala,n/a
11/15/2024,Italian Pasta,Food - Grains,1241,30,Argentina,Basic Industries
6/3/2025,Laptop Sleeve,Accessories,2237,8,Mexico,Basic Industries
8/31/2024,Natural Soy Candles,Home,849,16,China,Finance
12/16/2024,Garden Hoses with Expandable Features,Garden,1164,46,Brazil,n/a
12/26/2024,Smartphone Tripod,Photography,3016,23,Brazil,Technology
4/21/2025,Lemon Zest Olive Oil,Food - Oils & Vinegars,1059,3,Iceland,Energy
12/11/2024,Electric Wax Warmer,Home,3118,31,Ireland,Health Care
8/17/2024,Rain Jacket,Clothing,1844,11,China,Consumer Durables
12/4/2024,Elderberry Syrup Kit,Health,2726,6,Portugal,Public Utilities
2/7/2025,Set of Silicone Baking Molds,Kitchen,2343,39,Indonesia,Consumer Services
10/8/2024,Turkey Bacon,Food - Meat,1171,49,Indonesia,Technology
12/12/2024,Butternut Squash Ravioli,Food - Frozen Foods,1329,44,Iran,Finance
9/20/2024,Coconut Cream,Food - Baking & Cooking,3027,18,Ukraine,Finance
2/9/2025,Maple Pecan Granola,Food - Breakfast,1158,50,Thailand,Finance
7/2/2025,Cauliflower Rice Stir-Fry,Food - Frozen Foods,473,2,Slovenia,Transportation
4/28/2025,Cauliflower Pizza Crust,Food - Frozen Foods,2601,14,Indonesia,n/a
9/17/2024,Pet Carrier,Pets,1263,22,Ireland,n/a
9/26/2024,Portable Pet Bathing Tool,Pets,2424,46,France,Finance
12/31/2024,Self-Watering Planters,Garden,4793,25,Tunisia,Basic Industries
1/16/2025,Mediterranean Flatbread,Food - Bakery,2994,30,Portugal,n/a
10/23/2024,Electric Skillet,Kitchen,3196,32,Canada,Basic Industries
10/19/2024,Spicy Chicken Wings,Food - Meat,3078,4,Colombia,Finance
6/23/2025,Smart Thermos,Fitness,952,11,Poland,Energy
10/28/2024,Rain Jacket,Clothing,688,33,Indonesia,Technology
6/11/2025,Silicone Baking Mat,Kitchen,4160,2,Denmark,Health Care
11/30/2024,Pumpkin Puree,Food - Canned Goods,3749,4,Ukraine,n/a
8/14/2024,Balsamic Glazed Brussels Sprouts,Food - Vegetables,1301,47,Ukraine,Finance
11/23/2024,Weighted Blanket for Adults,Health,3411,1,France,Technology
11/13/2024,Herb Garden Planter Box,Garden,1821,47,Netherlands,Consumer Services
8/11/2024,Kids' Art Supplies Kit,Toys,107,20,Japan,n/a
9/16/2024,Stuffed Grape Leaves,Food - Prepared Foods,2844,1,Canada,n/a
1/9/2025,Electric Food Steamer,Kitchen,4152,10,China,Capital Goods
12/18/2024,Adjustable Laptop Stand,Office,4898,17,Philippines,n/a
12/18/2024,Whole Chicken,Food - Meat,3630,25,Canada,Energy
9/17/2024,Thai Basil Fried Rice,Food - Frozen,3607,42,United States,Finance
11/27/2024,Infrared Thermometer,Health,3975,50,United States,n/a
5/21/2025,Chocolate Mint Cookies,Food - Baking,2116,5,Panama,Consumer Services
2/20/2025,Watercolor Paint Set,Art Supplies,4345,24,Philippines,Health Care
11/7/2024,Voice-Controlled Speaker,Audio,1823,13,Russia,Health Care
9/25/2024,Gluten-Free Biscuits,Food - Baking,1823,28,Russia,Public Utilities
12/1/2024,Chic Ankle Strap Heels,Clothing - Shoes,4734,29,Macedonia,Capital Goods
1/30/2025,Home Cleaning Robot,Home Appliances,2780,5,South Africa,Technology
8/6/2024,Vegetable Stir Fry Mix,Food - Fresh Produce,103,28,Brazil,Health Care
8/16/2024,Honey Butter Popcorn,Food - Snacks,1256,40,Indonesia,Finance
10/29/2024,Chocolate Chip Pancake Mix,Food - Bakery,2511,49,China,Miscellaneous
3/17/2025,Vegan chocolate chip cookies,Food - Bakery,2622,26,Mexico,Finance
10/25/2024,Cacao Powder,Food - Baking,1930,33,Georgia,Capital Goods
1/8/2025,Savory Oatmeal Cups,Food - Breakfast,3836,4,Philippines,Health Care
4/30/2025,Woven Storage Baskets,Home,2725,22,China,Transportation
8/20/2024,Camera Tripod,Photography,1015,39,Poland,Technology
8/9/2024,Homemade Salsa,Food - Condiments,4701,24,Ethiopia,Basic Industries
10/30/2024,Herbed Mushroom Risotto,Food - Prepared Foods,3495,24,Portugal,Miscellaneous
11/7/2024,Dark Chocolate Raisins,Food - Snacks,4089,2,Egypt,Health Care
8/2/2024,Habanero Hot Sauce,Food - Condiments,4349,22,Ivory Coast,Energy
12/20/2024,Pet Carrier Backpack,Pets,3465,39,Somalia,Health Care
10/12/2024,Water Bottle,Fitness,1163,22,Indonesia,n/a
12/12/2024,Silicone Stretch Lids,Kitchen,4972,25,Argentina,Basic Industries
8/4/2024,Noise Reduction Headphones,Audio,189,45,China,Technology
9/3/2024,Wildflower Honey,Food - Condiments,1916,2,Cyprus,n/a
2/17/2025,Surimi Crab Sticks,Food - Seafood,3208,15,Finland,Technology
3/20/2025,Sliced Cucumbers,Food - Produce,1493,7,Russia,Health Care
3/18/2025,Stainless Steel Straws,Kitchen,2946,29,Belarus,Basic Industries
11/27/2024,Honey mustard chicken tenders,Food - Meat,1245,36,China,Health Care
3/22/2025,Silicone Baking Molds,Kitchen,3128,44,Cameroon,Technology
5/19/2025,Digital Stopwatch Timer,Fitness,2204,27,China,Finance
4/20/2025,Laundry Detergent,Food - Household,3321,2,Ukraine,Capital Goods
4/4/2025,Classic Pesto Sauce,Food - Sauces,2332,42,Armenia,Consumer Services
4/25/2025,Chili Beans (canned),Food - Canned Goods,1240,24,China,Consumer Services
12/5/2024,Rustic Italian Bread,Food - Bakery,3406,34,Panama,Technology
7/11/2025,Mediterranean Couscous,Food - Grains,2243,19,China,n/a
2/9/2025,Feta Cheese Crumbles,Food - Dairy,3154,14,China,Transportation
2/9/2025,Portable Charcoal Grill,Outdoor,2707,21,China,Finance
10/13/2024,Chickpeas,Food - Canned Goods,1786,35,Indonesia,n/a
3/27/2025,Chocolate Chip Pancake Mix,Food - Bakery,3578,6,Ukraine,n/a
9/5/2024,Microfiber Cleaning Cloth Set,Home,3178,8,France,Health Care
5/23/2025,Blender Bottle,Fitness,4050,42,Brazil,Technology
5/3/2025,Asian Salad Mix,Food - Produce,1046,1,France,Public Utilities
8/3/2024,Reclining Camping Chair,Outdoor,2989,41,China,Consumer Services
11/23/2024,Asian Stir-Fry Vegetables,Food - Frozen Foods,2416,42,Serbia,Technology
11/8/2024,Cauliflower Rice Stir-Fry,Food - Frozen Foods,2898,48,Honduras,Health Care
2/14/2025,Mango Chilli Sauce,Food - Condiments,285,1,France,Health Care
3/18/2025,Fitness Activity Journal,Fitness,3164,24,Indonesia,Capital Goods
8/14/2024,Car Diagnostic Scanner,Automotive,2434,42,Cyprus,Health Care
8/27/2024,Luxury Rolling Makeup Case,Beauty,1545,36,Philippines,n/a
3/7/2025,Fashionable Scarves Set,Clothing,3329,10,China,Finance
10/17/2024,Whole Wheat Bread,Food - Bakery,2210,6,Indonesia,n/a
11/6/2024,Savory Oatmeal,Food - Breakfast,3211,8,China,Health Care
2/7/2025,Vegan Alfredo Sauce,Food - Sauces,886,16,Indonesia,Finance
12/27/2024,Measuring Cups Set,Kitchen,442,46,China,Finance
9/9/2024,Honey Roasted Almonds,Food - Snacks,3716,34,Pakistan,Energy
9/24/2024,Wooden Blocks,Toys,3837,17,Philippines,Finance
3/3/2025,Wireless Wi-Fi Extender,Electronics,2011,49,Finland,n/a
1/20/2025,Raspberry Tart,Food - Baked Goods,773,25,Panama,Health Care
5/25/2025,Safety Goggles,Safety,2796,21,China,Capital Goods
12/18/2024,Raspberry Tart,Food - Baked Goods,3894,9,Indonesia,Consumer Services
8/17/2024,Vegan Mayonnaise,Food - Condiments,3458,7,Sweden,Energy
3/10/2025,Magnetic Puzzle Board,Toys,126,1,Indonesia,Health Care
4/27/2025,Chocolate Fudge Brownie Mix,Food - Baking,2236,19,Haiti,Finance
7/25/2024,Floral Wrap Top,Clothing - Tops,3417,1,Brazil,n/a
3/2/2025,Organic Chia Seeds,Food - Health Foods,4388,29,Japan,Consumer Services
7/1/2025,Mushroom Soup (canned),Food - Canned Goods,2970,36,China,Consumer Services
7/4/2025,Chickpea Flour,Food - Baking,3000,47,Colombia,Health Care
5/27/2025,Weighted Blanket,Health,2950,3,Malaysia,n/a
4/20/2025,Lemon Sorbet,Food - Frozen Desserts,1797,42,Russia,Health Care
2/12/2025,Rechargeable Electric Screwdriver,Tools,773,17,Norway,Energy
6/8/2025,Maple Bacon Popcorn,Food - Snacks,537,1,South Korea,Capital Goods
7/21/2025,Salsa Verde,Food - Condiments,3801,44,Iran,Health Care
5/15/2025,Personal Blender,Kitchen,1053,21,Chile,Consumer Services
3/27/2025,High-Quality Yoga Mat,Fitness,2305,50,Indonesia,Finance
6/23/2025,Solar String Lights,Outdoor,737,45,South Korea,n/a
7/5/2025,Chicken Sausage,Food - Meat,2432,20,Russia,Capital Goods
7/12/2025,Adjustable Height Standing Desk Converter,Office,748,49,Indonesia,Transportation
12/27/2024,Pistachios,Food - Nuts,2014,4,France,Finance
5/22/2025,Peanut Butter Chocolate Clusters,Food - Desserts,702,21,China,Miscellaneous
5/3/2025,Watercolor Set,Art Supplies,2358,20,United States,Finance
12/3/2024,Winter Knit Beanie,Clothing,4780,35,China,Basic Industries
12/10/2024,Honey-Balsamic Vinaigrette,Food - Dressing,3973,8,China,n/a
12/3/2024,Pistachio Ice Cream,Food - Frozen Desserts,3102,31,Armenia,Technology
5/13/2025,Homestyle Beef Stew,Food - Canned Soups,3005,2,France,Technology
1/28/2025,Smart WiFi Plug,Smart Home,281,25,Indonesia,n/a
1/26/2025,Chili Lime Seasoning,Food - Spices,4459,1,China,Energy
12/19/2024,Dog Car Seat Cover,Pets,4665,45,China,Health Care
9/20/2024,Spicy BBQ Sauce,Food - Condiments,4592,45,Uzbekistan,Finance
5/28/2025,Organic Brown Sugar,Food - Baking,2804,38,Indonesia,Consumer Services
12/25/2024,Portable SSD,Storage,2083,31,Portugal,Public Utilities
12/19/2024,Garlic & Herb Goat Cheese,Food - Dairy,1588,16,South Africa,Finance
7/1/2025,Kids' Art Easel,Toys,2668,7,Japan,Energy
10/30/2024,Safety Goggles,Safety,2796,26,Greece,n/a
11/24/2024,Memory Foam Mattress Pad,Home,2023,28,Slovenia,Technology
9/27/2024,Wooden Blocks,Toys,1954,20,China,n/a
10/6/2024,Asian Noodle Salad Kit,Food - Salads,4500,47,Philippines,Consumer Services
7/16/2025,Chocolate Mint Protein Shake,Food - Beverages,4354,9,Mongolia,Consumer Services
8/19/2024,Window Bird Feeder with Suction Cups,Outdoor,484,29,Ivory Coast,n/a
6/23/2025,Chocolate Chip Cookie Dough,Food - Baking,4034,38,Nigeria,Finance
11/6/2024,Air Mattress,Outdoor,129,6,Colombia,n/a
1/18/2025,Fresh Cilantro,Food - Produce,188,3,Russia,Health Care
3/24/2025,Laptop Sleeve,Accessories,843,44,Indonesia,Technology
12/18/2024,Beef Tacos,Food - Meat,1577,40,China,Finance
5/8/2025,Sports Water Bottle with Infuser,Fitness,4911,19,Madagascar,Technology
3/25/2025,Handheld Vacuum,Home Appliances,3677,31,Yemen,Health Care
2/8/2025,Multi-Layer Food Steamer,Kitchen,4055,24,Sweden,Consumer Services
1/23/2025,Wireless Security Camera,Home,800,18,Japan,Consumer Services
9/27/2024,Travel Jewelry Case,Accessories,3959,31,Indonesia,n/a
7/7/2025,Wireless Range Extender,Electronics,1629,16,Indonesia,Capital Goods
3/4/2025,Vegetable Lasagna,Food - Frozen Foods,1581,15,Russia,Basic Industries
1/7/2025,Almond Flour,Food - Baking,4731,24,Philippines,Technology
11/7/2024,Customizable Wall Calendar,Office,402,13,China,Finance
3/30/2025,Basmati Rice,Food - Grains,4590,48,Russia,Technology
8/25/2024,Dark Chocolate Raisins,Food - Snacks,1300,37,Afghanistan,Health Care
7/1/2025,Homestyle Chicken Noodle Soup,Food - Canned Goods,3152,25,China,Miscellaneous
1/22/2025,Instant Pot,Kitchen,3214,12,Indonesia,Technology
5/29/2025,Car Escape Tool,Automotive,1851,23,China,Consumer Services
6/21/2025,Kitchen Scale,Kitchen,3045,49,Albania,Energy
11/29/2024,Cucumber,Food - Produce,1091,3,Colombia,Finance
3/27/2025,Wild Rice & Quinoa Mix,Food - Grains,3563,17,China,Health Care
5/20/2025,Dried Fruit Medley,Food - Snacks,4967,31,China,n/a
2/28/2025,Wireless Charging Pad,Accessories,4263,35,Tanzania,Basic Industries
11/21/2024,Electric Stool Heater,Home,4111,36,China,Public Utilities
4/27/2025,Oversized Denim Shirt,Clothing - Shirts,2030,26,Indonesia,n/a
9/10/2024,Weighted Blanket,Health,496,25,Brazil,Capital Goods
6/23/2025,Organic Green Tea,Food - Beverages,4946,45,Venezuela,Consumer Services
12/16/2024,Herbed Chicken Breast,Food - Meat,845,13,Afghanistan,Consumer Services
1/3/2025,Chocolate Fudge Brownie Mix,Food - Baking,247,36,Netherlands,Technology
6/12/2025,Coconut Almond Granola,Food - Breakfast,3722,1,Poland,n/a
